                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39055,                 3.9834,                 1.1645,                      0,                      0,                      0,                      0,                0.22331,                 3.9539,                0.91044,             0.00020238,             0.00020238,             0.00020238
                      2,                0.28559,                 1.8818,                0.96177,                0.08333,                0.02431,                0.05382,                0.05077,                0.22596,                  2.862,                0.93753,             0.00040665,             0.00040665,             0.00040665
                      3,                0.26689,                 1.3418,                0.94298,                0.24667,                0.16819,                0.20869,                0.17315,                0.25282,                 2.2526,                0.94339,             0.00060679,             0.00060679,             0.00060679
                      4,                0.25561,                 1.1787,                0.93458,                0.74444,                0.37386,                0.56148,                0.46444,                0.20864,                 1.2771,                0.90038,             0.00060644,             0.00060644,             0.00060644
                      5,                0.22894,                  1.047,                0.91453,                0.99856,                0.60053,                0.79922,                0.62477,                0.19094,                0.92297,                0.88527,             0.00060644,             0.00060644,             0.00060644
                      6,                0.22261,                0.98517,                0.90745,                0.91667,                0.63807,                0.77527,                0.62836,                0.18717,                0.83651,                0.88185,             0.00060025,             0.00060025,             0.00060025
                      7,                0.21594,                0.92915,                0.91096,                0.99819,                0.72758,                0.86148,                0.69668,                0.17665,                0.79771,                 0.8723,             0.00059406,             0.00059406,             0.00059406
                      8,                0.20072,                0.87998,                0.89893,                      1,                0.84568,                0.92071,                0.73371,                0.17152,                0.70628,                0.87077,             0.00058787,             0.00058787,             0.00058787
                      9,                0.20673,                 0.8234,                0.89196,                0.99846,                0.91601,                0.95487,                0.76176,                0.16489,                0.64515,                 0.8646,             0.00058169,             0.00058169,             0.00058169
                     10,                0.19403,                0.78426,                0.89131,                0.99936,                0.90881,                 0.9517,                0.75155,                0.16267,                 0.6471,                0.86933,              0.0005755,              0.0005755,              0.0005755
                     11,                0.19376,                0.76755,                0.88858,                 0.9964,                0.92667,                0.96006,                0.75784,                0.17237,                0.64161,                0.86575,             0.00056931,             0.00056931,             0.00056931
                     12,                 0.1934,                0.74244,                0.88498,                0.99506,                0.91123,                 0.9528,                0.76906,                0.16071,                0.61377,                0.84922,             0.00056313,             0.00056313,             0.00056313
